name label id
prp_crosswalkSign_258 15 1
prp_cementBarrier2_178 34 2
prp_cementBarrier3 34 3
prp_barrier_Lrg2_182 31 4
prp_pylon_Lrg6_190 26 5
prp_pylon_Lrg8_196 26 6
prp_pylon_Lrg9_199 26 7
prp_pylong_Sml14_205 26 8
prp_pylong_Sml15_208 26 9
prp_pylong_Sml16_211 26 10
prp_pylong_Sml17_214 26 11
prp_pylong_Sml18_217 26 12
prp_pylong_Sml19_220 26 13
prp_manhole26 2 14
prp_manhole34 2 15
prp_sewerGrate43 10 16
prp_sewerGrate77 10 17
flg_grass_111 27 18
flg_grass_114 27 19
Building2_Example3 16 20
prp_fireHydrant_B_9 6 21
TrashBag_2_mdl14_17 32 22
prp_parkingMeter_34 28 23
prp_parkingMeter2 28 24
prp_parkingMeter4 28 25
prp_parkingMeter5 28 26
door_A_51 23 27
prp_fireHydrant_B4_98 6 28
prp_light_02_Blueprint16 3 29
prp_light_02_Blueprint17 3 30
prp_light_02_Blueprint18 3 31
prp_light_02_Blueprint19 3 32
prp_light_02_Blueprint20 3 33
prp_vent_01_139 22 34
prp_vent_5 22 35
prp_vent_6 22 36
prp_vent_7 22 37
Sign_1_mdl6 37 38
prp_streetLight_Blueprint26 1 39
prp_pylong_Sml13_202 26 40
TrashBag_1_mdl10_14 32 41
prp_parkingMeter3 28 42
prp_streetLight_Blueprint28 1 43
prp_manhole29 2 44
prp_manhole25 2 45
prp_manhole36 2 46
prp_sewerGrate80 10 47
prp_sewerGrate81 10 48
Sign_1_mdl4 37 49
prp_streetLight_Blueprint27 1 50
prp_manhole28 2 51
prp_manhole35 2 52
prp_pylong_Sml26_20 26 53
prp_parkingMeter6 28 54
prp_metalPillar7_43 17 55
prp_light_02_Blueprint21 3 56
prp_electricalBox4_145 12 57
prp_streetLight_Blueprint25 1 58
prp_streetLight_Blueprint24 1 59
TrashBag_2_mdl4_496 32 60
prp_metalFence3_175 30 61
flg_grass_120 27 62
prp_sewerGrate79 10 63
prp_sewerGrate84 10 64
Sign_1_mdl5 37 65
Flg_hedge_Tall24 29 66
Flg_hedge_Tall25 29 67
prp_electricalBox_38 12 68
prp_sewerGrate82 10 69
Building9_Example_6294 16 70
prp_garbageCan4_493 4 71
Flg_hedge_Short23 29 72
prp_manhole31 2 73
Flg_hedge_Short19_505 29 74
Flg_hedge_Short20 29 75
Flg_hedge_Short21 29 76
Flg_hedge_Short22_4 29 77
prp_bench10_489 5 78
prp_sewerGrate88 10 79
prp_metalFence11 30 80
prp_streetLight_Blueprint23 1 81
flg_fern3_462 35 82
Flg_hedge_Short24 29 83
Flg_hedge_Short25 29 84
prp_garbageCan16_10 4 85
Awning_mdl6 13 86
TrashBag_1_mdl2_502 32 87
Building4_Example_9302 16 88
prp_metalFence10 30 89
prp_light_03_Blueprint12 3 90
prp_light_03_Blueprint11 3 91
prp_light_03_Blueprint10 3 92
prp_sewerGrate93_197 10 93
prp_metalPillar12 17 94
prp_ac_68 24 95
prp_light_03_Blueprint9 3 96
prp_flag5_456 36 97
prp_bench11_499 5 98
prp_garbageCan5 4 99
prp_metalPillar11 17 100
prp_bench8 5 101
prp_garbageCan3_417 4 102
TrashBag_1_mdl_423 32 103
prp_manhole24 2 104
prp_manhole55_81 2 105
prp_metalPillar15 17 106
prp_bench7_412 5 107
TrashBag_2_mdl3_420 32 108
prp_fireHydrant_B2_89 6 109
prp_metalPillar16 17 110
prp_streetLight_Blueprint12 1 111
prp_flag4 36 112
prp_metalFence9_84 30 113
prp_metalPillar14_206 17 114
prp_manhole21 2 115
prp_manhole23 2 116
prp_sewerGrate8 10 117
prp_potSquare_B18 33 118
prp_light_02_Blueprint29 3 119
prp_streetLight_Blueprint11 1 120
prp_potSquare_B7 33 121
prp_potSquare_B8 33 122
prp_potSquare_A5_447 33 123
prp_sewerGrate7 10 124
prp_potSquare_B17 33 125
prp_fireHydrant_A_92 6 126
prp_light_02_Blueprint27 3 127
prp_metalPillar10_200 17 128
prp_potSquare_B6 33 129
prp_sewerGrate6 10 130
